1.0	it	2015-10-16 11:40:32Z
Tool Diameter.info:MOPPocket	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Diameter.info:MOPProfile	The diameter of the current tool.  If the tool diameter is zero, the tool number will be used to look up the diameter from the tool table.	Il diametro dell'Utensile in corso. Se il diametro dell'utensile è zero, il numero Utensile sarà utilizzato per cercare il diametro nella Libreria utensili.
Tool Geometry		Geometria Utensile
Tool Libraries		Librerie Utensili
Tool Library		Libreria Utensile
Tool Library.info	If left blank, the default tool library will be used (Default-{$Units}), otherwise the specified library will be used when looking up tool numbers.	Se lasciato vuoto, la libreria utensili predefinita verrà utilizzata (Default-{$Units}), altrimenti la libreria specificata verrà utilizzata durante per la ricerca dei numeri utensile.
Tool Material		Materiale Utensile
Tool Name Format		Formato Nome Utensile
Tool Name Format.info		Formato Nome Utensile
Tool Number		Utensile - Numero
Tool Number.info	The ToolNumber is used to identify the current tool, control tool changes and lookup properties from the tool library.	Il numero utensile viene utilizzato per identificare l'utensile corrente, controllo cambio utensile  recupero delle proprietà nella libreria utensili.
Tool Number.info:CAMStyle	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.	Il numero di utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensili  tra lavorazioni successive, viene generata un'istruzione cambio utensile.
Tool Number.info:MOP3DSurface	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPDrill	The ToolNumber is used to identify the current tool.\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPEngrave	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPLathe	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPNCFile	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPPocket	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Number.info:MOPProfile	The ToolNumber is used to identify the current tool.\r\nIf ToolNumber changes between successive machine ops a toolchange instruction is given.\r\nToolNumber=0 will NOT generate a tool change instruction.	Il numero utensile viene utilizzato per identificare l'utensile corrente.\nIn caso di modifiche numero utensile  tra lavorazioni successiv,viene generata un'istruzione cambio utensile.\nNumero utensile = 0 NON genera un'istruzione cambio utensile
Tool Profile		Profilo Utensile
Tool Profile.info	The shape of the cutter.\r\nUse Unspecified to lookup the profile from the tool library.	Il profilo dell'Utensile.\nUtilizzato per cercare il profilo dalla ltabella utensili.
Tool Profile.info:CAMStyle	The shape of the cutter.	Il Profilo dell'Utensile
Tool Profile.info:MOP3DSurface	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	Il Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPDrill	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPEngrave	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPLathe	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPNCFile	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPPocket	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:MOPProfile	The shape of the cutter. If Unspecified, the tool number will be used to look up the profile from the tool table.	l Profilo dell'Utensile. Se non specificato, il numero strumento sarà utilizzato per cercare il profilo dalla tabella utensili.
Tool Profile.info:ToolDefinition	The shape or type of tool.	Il profilo o il tipo di Utensile
Tool Table Item		Elemento Tabella Utensili
Tool Table Item.info	Defines how each item of the {$tooltable} macro is produced.\nTool tables are typically inserted in the header of a file and contains commented text describing the list of tools that are used in the gcode file	Definisce come ogni elemento della macro {$tooltable} viene prodotta.\nTabelle Utensili sono in genere inseriti nella intestazione di un file e contiene un testo che descrive l'elenco degli strumenti che vengono utilizzati nel file gcode
TOOL_DIAMETER_CONFLICT	WARNING! Conflicting tool diameters for tool number {0}	ATTENZIONE! Diametri utensili in conflitto per numero di utensile {0}
TOOL_INDEX_NOT_FOUND	Tool index ({0}) not found	Indice utensile ({0}) non trovato
Tool_Libraries	Tool Libraries	Librerie Utensili
TOOL_LIBRARY_NOT_FOUND	Tool library '{0}' not found	Libreria Utensile '{0}' non trovato
Toolkit		Kit Strumenti
Toolpath Arc Color		Colore PU per  Archi 
Toolpath Arc Color.info	The color of arc segments in toolpaths.	Il colore dei segmenti di arco in PU.
Toolpath color		Colore PU vis.
Toolpath distance '{0}' : {1} + rapids : {2} = total : {3}		Distanza 'PU{0}': {1} + rapidi: {2} = totale: {3}
Toolpath Generation '{0}'		Generazione dei PU '{0}'
Toolpath index		Indice PU 
Toolpath Line Color		Colore PU per Linee
Toolpath Line Color.info	The color of line segments in toolpaths.	Il colore di segmenti di linea in PU.
Toolpath Rapid Color		Colore PU per Rapido
Toolpath Rapid Color.info	The color used to display toolpath rapids.	Il colore utilizzato per visualizzare movimenti rapidi del PU.
Toolpath view filter		Filtro vista PU
Toolpath View Filter		Filtro vista PU 
Toolpath Visibility		Visibilità PU
Toolpath Visibility.info	Display all toolpaths or only those selected in the drawing tree.	Visualizza tutti i percorsi o solo quelli selezionati nell'albero di disegno.
TOOLPATH_DISTANCE	Toolpath distance '{0}' : {1} + rapids : {2} = total : {3}	PU distanza '{0}': {1} + rapidi: {2} = totale: {3}
TOOLPATH_DURATION	Estimated Toolpath '{0}' duration : {1} + rapids : {2} = total : {3}	Stima del PU '{0}' durata: {1} + rapidi: {2} = totale: {3}
TOOLPATH_GENERATION	Toolpath Generation '{0}'	Generazione di PU '{0}'
TOOLPATH_GENERATION2	Generate toolpath '{0}' duration : {1}	Generare PU '{0}' durata: {1}
Toolpath_To_Geometry	Toolpath to geometry	Da PU a geometria
Toolpaths to geometry		Da PU a geometria
Tools		Strumenti
Tooth Load		Carico Dente
Tooth Load.info	Tooth load.\r\nNot currently used for toolpath generation!	Carico Dente. Non è attualmente utilizzato per la generazione di PU!
Tooth Loading		Carico  Dente
Tooth Size:		Dimensione Dente
Top		Alto
Top+Bottom		Alto + basso
Top+Left		Alto + Sinistra
Top+Right		Alto + Destra
Tournage1.ToolDiameter		Tournage1.Diametro Utensile
Transform		Trasforma
Transform.info	A 4 x 4 matrix used to rotate, scale and translate the drawing object.	Una matrice 4 x 4 usati per ruotare, scalare e tradurre l'oggetto di disegno.
Transform.info:MOP3DSurface	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transform.info:MOPDrill	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transform.info:MOPEngrave	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transform.info:MOPLathe	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transform.info:MOPPocket	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transform.info:MOPProfile	This transformation matrix will be applied to the toolpath before gcode generation.	Questa matrice di trasformazione sarà applicata al PU prima di generare il gcode.
Transformation		Trasformazione
Translation		Spostamento
Translations		Traduzioni
Transparent		Trasparente
Triangle		Triangolo
Trim		Spunta
Trochoidal Path		Percorso della trocoidale
True		Vero
U Channels		Canali U
Undefined		Predefinito
Undo		Annulla
Union		Unifica
Unit Tests		Unit test
Units		Unità
Units (Inches)		Unità (pollici)
Units (Inches).info	Code used for inches units.	Codice utilizzato per unità in pollici.
Units (Metric)		Unità (metrico)
Units (Metric).info	Code used for millimeter units.	Codice utilizzato per unità in millimetri.
UNITS_CHANGED	You have changed the current drawing units to {0}.\r\nWould you also like to change the default units for new drawings to {0}?	Sono state modificate le unità di disegno correnti a {0}.\nVolete modificare anche le unità predefinite per i nuovi disegni a {0}?
Unknown		Sconosciuto
UNKNOWN_WORKPLANE	Unknown workplane no longer supported.	Piano di lavoro sconosciuto, non è più supportato.
UNSAVED_CHANGES_CONFIRM	'{0}' has unsaved changes which will be lost.  Continue with reload?	'{0}' contiene modifiche non salvate che verranno perse. Continuare con la ricarica?
Unspecified		Imprecisato
Untitled		Senza titolo
Up Left		In alto a sinistra
Up Right		In alto a destra
Update All Geometry		Aggiorna tutto Geometria
Update Selected Geometry		Aggiornamento Geometria selezionata
Upper		Superiore
Upper Case		Maiuscolo
Upper Case.info	If set to True, the post processor converts all text written to the gcode file to upper case.	Se impostato su True, il post processore converte tutto il testo scritto nel file di gcode in maiuscolo.
Use existing value		Utilizzare il valore esistente
Use Lead Ins		Usa Lead In
Use Lead Ins.info	Square holding tabs will result in a vertical plunge on the trailing edge. This can be hard on cutters, especially in harder materials. If UseLeadIns is set True, an extra lead in move (as defined in the profile's LeadInMove property) is inserted at the trailing edge.	Con Fermi quadrati verrà  effettuato un avanzamento verticale sul bordo di uscita. Questo può creare problemi con gli Utensili, soprattutto in materiali più duri. Se Usa Lead In è impostato su Vero, un movimento (Spirale o Tangente come definito nella proprietà "Movimento Lead In") viene inserito nel bordo di uscita.
Use new value		Usa il nuovo valore
Use New Value		Usa Nuovo valore
Use Old Value		Usa Valore Vecchio
Use Regular Expressions		Usa espressioni regolari
Use same action for all conflicts		Usa stessa azione per tutti i conflitti
Use Surface Selection Color		Col. Selez.  per superficie
Use Surface Selection Color.info	If True, selected surface objects are displayed using the selection color.	Se Vero, gli oggetti superficie selezionati sono visualizzati usando la proprietà [Colore selezione].
Use Test PropertyGrid		Uso di test PropertyGrid
User Input		Input Utente
uses a rule of thumb		utilizza una regola approssimata
Value		Valore
Value.info	A value that controls the selected side profile method.	Un valore che controlla il metodo del profilo laterale selezionato.
Values for diametral pitch, number of teeth and pitch diameter do not match. Please click on one of the Calculate buttons and try again.		I valori di passo, numero di denti e diametro ruota non corrispondono. Si prega di fare clic su uno dei pulsanti Calcola e riprovare.
Varie		Varie
VBScript		VBScript
V-Cutter		V-Cutter
Vector		Vettore
Vee Angle		Angolo  V
Vee Angle.info	For V cutters, this is the angle of V.	Per Utensili a V, questo è l'angolo di V.
Velocity Mode		Modo Velocità
Velocity Mode - Constant Velocity		Modo Velocità - Velocità Costante 
Velocity Mode - Constant Velocity.info	Code used for constant velocity mode.	Codice utilizzato per [Velocità Costante] generalmente (G64).
Velocity Mode - Exact Stop		Modo Velocità - Arresto Preciso
Velocity Mode - Exact Stop.info	Code used for exact stop velocity mode.	Codice utilizzato per [Arresto Preciso] generalmente (G61).
Velocity Mode.info	Constant velocity will cut faster and smoother but may be less accurate.\r\nExact stop will be more precise but may be slower with more vibration.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:CAMStyle	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOP3DSurface	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOPDrill	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOPEngrave	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOPLathe	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOPPocket	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Velocity Mode.info:MOPProfile	Instructs the gcode interpretter whether or to use look ahead smoothing.	Imposta il [Modo Velocità] da usare: \r\n[Velocità Costante] sarà più veloce e fluido, ma può essere meno preciso. [Arresto Preciso] sarà più precisa, ma può essere più lento e con più vibrazioni.
Version is up to date.		La versione è aggiornata.
VERSION_CHECK_ERROR	Version Check Error : {0}	Versione Error Check: {0}
VERSION_UP_TO_DATE	Version is up to date.	La versione è aggiornata.
Vertical		Verticale
Vertical Hatch		Tratteggio verticale
View		Vista
View 3D Wireframe		Vista 3D Wireframe
View 3D Wireframe.info	If True, 3D meshes will be displayed in wireframe mode.	Se Vero, mesh 3D verrà visualizzato in modalità wireframe.
View Background Color		Colore di sfondo
View Background Color.info	The color of the drawing background.	Il colore di sfondo del disegno.
View Focal Length Scale		Visualizza la scala della distanza focale
View Focal Length Scale.info	For perspective projections, the 'camera' is set back from origin by a distance calculated from the viewport height and field of view multiplied by the focal length scale	Per le proiezioni prospettiche, la camera è posizionata dall'origine ad una posizione calcolata considerando l'altezza della vista e l'angolo di visione moltiplicato per la distanza focale.
View Projection Mode		Visualizza modalità di proiezione
View Projection Mode.info		
View Samples		Mostra Esempi
View Text Color		Colore finestra testo
View Text Color.info	The color used to display text in the drawing view.	Il colore usato come sfondo nella finestra  testo
Visible		Visibile
Visible.info	Whether the objects in the layer are visible or hidden.	Se Vero gli oggetti del Livello sono visibili,\nSe Falso gli oggetti sono nascosti.
Visit us at:		Il nostro sito:
WARN_3D_USE_LEVELFIRST	WARNING! There known issues with 3D and depth first cut ordering using the Standard optimisation mode.\r\nPlease use OptimisationMode=Experimental or CutOrdering=LevelFirst.	ATTENZIONE! Ci sono problemi noti con il 3D e la profondità del taglio ordinato utilizzando la modalità standard. Si prega di utilizzare Modo Ottimizzazione = sperimentale o Ordine di Taglio = Primo Livello.
WARN_APPLY_TRANSFORMATIONS	WARNING! This will multiply the points in the selected objects\r\nby their transform matrix and reset the matrix to identity.\r\nThis may cause unexpected results for arcs and curves where\r\nthe curve plane is (at the moment) always in the XY plane.\r\nDo you wish to continue?	ATTENZIONE! Questo moltiplicherà i punti dalla  matrice di\ntrasformazione degli oggetti selezionati\ne azzerera la matrice di identità.\nPuò causare risultati imprevisti per archi e curve dove\nil piano della curva è (al momento) sempre nel piano XY.\nVuoi continuare?
WARN_BLANK_STYLE_REMOVE	WARNING! Blank named styles are used internally as top level default styles. Removing these styles can cause unpredictable results.\r\nDo you wish to delete this style?	ATTENZIONE! Stili senza nome vengono utilizzati internamente come gli stili predefiniti di Livello superiore. La rimozione di questi stili può causare risultati imprevedibili.\nVuoi cancellare questo stile?\n 
WARN_CHANGING_DRILL_DEPTH	WARNING! Drill {0} : changed target depth from relative to absolute.	ATTENZIONE! Drill {0}: cambiata [Altezza Obiettivo] da relativo ad assoluto.
WARN_CHANGING_WORKPLANE_TO_XY	Changing unknown workplane to XY	Modifica piano di lavoro XY sconosciuto
WARN_DEPTH_RELATIVE_TO	WARNING! DepthRelativeTo settings other than Absolute are no longer supported. Please check your machining operation target depths.	ATTENZIONE! DepthRelativeTo impostazioni diverse da assoluto non sono più supportate. Controlla la [Altezza Obiettivo] della lavorazione.
WARN_DRILL_INVALID_DEPTHINCREMENT	WARNING! Invalid spiral depth increment in drill operation ({0})	ATTENZIONE! Incremento profondità spirale non valido nell'operazione di foratura ({0})
WARN_DRILL_TOOL_TOO_LARGE	WARNING! Tool larger than hole diameter in drill operation ({0})	ATTENZIONE! Strumento più grande di diametro del foro in funzione foratura({0})
WARN_DUPLICATE_PRIMITIVE_ID	WARNING! Duplicate primitive id : ({0})	ATTENZIONE! Duplicato ID di primitiva: ({0})
WARN_GCODE_ORIGIN	WARNING! GCodeOrigin settings other than DrawingOrigin are no longer supported. Please use new MachiningOrigin property.	ATTENZIONE! Impostazioni GCodeOrigin diverse da DrawingOrigin non sono più supportate. Si prega di utilizzare la nuova proprietà MachiningOrigin.
WARN_INCREMENTAL_NOT_SUPPORTED	Incremental distance mode currently not supported.  Changed to absolute.	Modo Distanza incrementale non è attualmente supportata. Cambia in assoluto.
WARN_MULTIPLE_GCODE_ORIGINOFFSETS	WARNING! Multiple GCodeOriginOffsets detected. Please Check new MachiningOrigin property.	ATTENZIONE! Rilevato più GCodeOriginOffsets . Per favore controlla nuova proprietà MachiningOrigin.
WARNING! Open poly detected		ATTENZIONE! Individuate polilinee aperte
WARNING! Open poly detected (offset={0})		ATTENZIONE! Individuate polilinee aperte (offset = {0})
Warning: undercutting may occur. Consider increasing teeth.		Attenzione: Si possono verificare lavorazioni con sottoquotazioni. Considerare di aumentare denti.
Waterline Finish		WaterLine Fine
Waterline Rough		WaterLine Grezzo
Waterline Safety Check		Controllo della sicurezza WaterLine
Waterline Safety Check.info	If True, prevent gcode creating if errors are suspected in 3D waterline toolpaths.	Se Vero, impedisce la generazione di GCode se si sospettano errori in PU 3D Waterline.
WATERLINE_DURATION	GenerateWaterlines duration : {0}	Durata generazione Waterline: {0}
WATERLINE_MUST_SPECIFY_DEPTHINCREMENT	Must specify depth increment for waterline machining	È necessario specificare la profondità di incremento per lavorazioni Waterline
Width		Dim. - Larghezza
Width.info	The width of the rectangle.	La larghezza del rettangolo.
Width.info:CBValue`1	The final width of the holding tab, measured at the thinnest part of the tab.	La larghezza finale dei fermi, misurata nella parte più sottile.
Window opacity		Opacità Finestra
Wireframe		Wireframe
Work Area		Area di lavoro
Work Area.info		Area di lavoro.info
Work Length		Lunghezza lavoro
Work Length.info		Lunghezza lavoro.info
Work Plane		Piano di lavoro
Work Plane.info	Used to define the gcode workplane.  Arc moves are defined within this plane.	Permette di definire il piano di lavoro per il GCode. I movimenti circolari sono definiti all'interno di questo piano.
Worker Threads		Worker Threads
Worker Threads.info	Number of simultaneous worker threads to use.	Numero di "Worker Threads" simultanei da usare.
Workplane XY		Piano di lavoro XY
Workplane XY.info	Code used for XY work plane.	Codice utilizzato per il piano di lavoro XY.
Workplane XZ		Piano di lavoro XZ
Workplane XZ.info	Code used for XZ work plane.	Codice utilizzato per il piano di lavoro XZ.
Workplane YZ		Piano di lavoro YZ
Workplane YZ.info	Code used for YZ work plane.	Codice utilizzato per il piano di lavoro YZ.
X		X
X Axis		Asse X
X Axis.info		Asse X.info
X Mode Diameter		X modalità Diametro
X Mode Diameter.info	Used in the {$lathexmode} macro to specify that X values are in diameter mode.\nFor example EMC2 recognizes G7.	Utilizzato nella macro{$lathexmode}  per specificare che i valori X sono in modalità  diametro.\nPer esempio EMC2 riconosce G7.
X Mode Radius		X modalità Raggio
X Mode Radius.info	Used in the {$lathexmode} macro to specify that X values are in radius mode.\nFor example EMC2 recognizes G8.	Utilizzato nella macro{$lathexmode}  per specificare che i valori X sono in modalità  raggio.\nPer esempio EMC2 riconosce G8.
X Scale		
X Stepover		StepOver X
X Stepover.info	Amount to step X for each height test point.	Incremento di X per ogni punto di test dell'altezza.
X Width		X Width
X.info		Il valore di X
XPOLY_OPEN_POLY_DETECTED	WARNING! Open poly detected	ATTENZIONE! Individuate polilinee aperte
XPOLY_OPEN_POLY_SKIPPED	WARNING! Open poly skipped	ATTENZIONE! Ignorate polilinee aperte
XPolyline		X Polilinee
XPolylineLoopPoints Test		X Polilinee Punti ciclo di test
XPolylineOverlaps Detect		Rilevate sovrapposizioni X polilinee
XPolylineOverlaps Fix		Correzione sovrapposizione X polilinee
XPOLYOFFSET_OPEN_POLY_DETECTED	WARNING! Open poly detected (offset={0})	ATTENZIONE! Individuata polilinea aperta (offset = {0})
XPOLYOFFSET_OPEN_POLY_SKIPPED	WARNING! Open poly skipped (offset={0})	ATTENZIONE! Ignorata polilinea aperta  (offset = {0})
XY		XY
XY Plane		Piano XY
XZ		XZ
XZ Plane		Piano XZ
Y		Y
Y Axis		Asse Y
Y Axis.info		Asse Y.info
Y Height		Y Height
Y Scale		
Y Stepover		StepOver Y
Y Stepover.info	Amount to step Y for each height test point.	Incremento di Y per ogni punto di misurazione altezza.
Y.info		Il valore di Y
Yes		Sì
You have changed the current drawing units to {0}.\r\nWould you also like to change the default units for new drawings to {0}?		Sono state modificate le unità di disegno correnti a {0}.\nVolete modificare anche le unità predefinite per i nuovi disegni a {0}?
You must first generate the gcode file		È necessario prima generare il file GCode
You must first select the split points.		È necessario innanzitutto selezionare i punti di divisione.
YZ		YZ
YZ Plane		Piano YZ 
Z		Z
Z Axis		Asse Z
Z Axis.info		Asse Z.info
Z depth index		Indice profondità Z 
Z Height Range		Gamma altezza Z
Z.info		Il valore di Z
Zoom		
Zoom actual size		Zoom dimensioni reali
Zoom to fit		Zoom adatta alla finestra
Zoom to objects		
